sector,price,bedRoom,bathroom,balcony,floorNum,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,property_type_house,agePossession_New Property,agePossession_Old Property,agePossession_Relatively New,agePossession_Under Construction,luxury_score_Low,luxury_score_Medium
113.0,1.5,2,2,2,13.0,1511.8483412322275,0,0,0,0,0,0,False,True,False,False,False,True,False
113.0,1.5,2,2,2,13.0,1124.229074889868,0,0,0,0,0,0,False,True,False,False,False,False,True
104.0,0.9,2,2,0,16.0,1259.0,0,0,0,0,0,0,False,False,False,True,False,True,False
52.0,1.5,4,4,3,3.0,1444.9339207048458,0,0,0,0,0,0,False,False,True,False,False,False,True
67.0,0.8,1,1,0,0.0,610.0,0,0,0,0,0,0,False,False,False,True,False,True,False
86.0,1.25,3,2,1,11.0,1488.9867841409691,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,0.26,2,2,1,2.0,570.8437962085309,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.42,2,2,1,12.0,629.1469194312797,0,0,0,0,0,0,False,True,False,False,False,False,True
43.0,2.5,3,3,2,2.0,189.4273127753304,0,0,0,0,0,0,False,True,False,False,False,True,False
78.0,0.9,3,3,2,1.0,1900.0,0,1,1,0,0,0,False,False,False,False,False,False,True
92.0,0.42,2,2,1,4.0,700.2369668246446,1,0,1,0,0,1,False,False,False,True,False,True,False
107.0,0.5,2,2,1,11.0,481.057268722467,0,0,0,0,0,0,False,False,False,True,False,True,False
79.0,0.9,2,2,3,5.0,1450.0,1,0,0,0,0,0,False,False,False,True,False,False,True
89.0,1.3,3,3,3,1.0,2263.03317535545,0,1,0,0,0,0,False,True,False,False,False,True,False
33.0,1.7,3,3,3,12.0,1576.2114537444934,0,0,0,0,0,0,False,False,False,False,True,True,False
92.0,1.25,4,3,0,16.0,2040.0,0,0,0,0,0,0,False,False,False,False,True,True,False
82.0,2.91,4,4,3,6.0,4343.0,1,1,0,1,0,1,False,False,False,False,True,False,True
12.0,1.15,3,4,2,2.0,2000.0,1,1,0,0,1,1,False,False,True,False,False,True,False
89.0,1.2,3,3,3,3.0,1135.0710900473937,0,0,1,1,0,0,False,False,False,False,True,False,True
48.0,1.5,2,2,3,11.0,1451.4218009478673,0,0,0,0,0,0,False,True,False,False,False,True,False
48.0,1.3,3,3,3,10.0,1.9790441176470588,0,0,0,0,0,0,False,False,False,True,False,True,False
104.0,1.75,3,3,3,2.0,1488.1057268722466,0,0,0,0,0,0,False,False,False,False,True,True,False
5.0,0.55,2,2,1,4.0,829.3838862559242,1,0,0,0,0,1,False,False,False,True,False,False,True
