property_type,sector,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,luxury_score
flat,48.0,0.24,324.0,1,1,2,1.0,New Property,383.88625592417065,0,0,0,0,0,2,68
flat,77.0,2.1,2000.0,3,4,3,11.0,New Property,1600.0,0,1,0,0,0,0,129
flat,33.0,1.9,1929.0,3,3,3,14.0,New Property,2285.5450236966826,0,1,0,0,0,2,96
flat,79.0,1.1,958.0,2,2,3,9.0,New Property,78.41409691629956,0,0,0,0,0,2,0
flat,95.0,0.32,711.0,2,2,1,8.0,Relatively New,1.9790441176470588,0,0,0,0,1,1,28
flat,109.0,1.7,965.0,1,1,2,9.0,Relatively New,965.0,0,0,0,0,0,2,0
flat,99.0,0.32,524.0,2,2,2,2.0,New Property,1.9790441176470588,0,0,0,0,0,2,50
flat,86.0,0.45,581.0,2,2,1,4.0,Under Construction,688.8130793838861,0,0,0,0,0,2,66
flat,78.0,1.2,1198.0,1,2,2,32.0,Under Construction,1.9790441176470588,0,0,0,0,0,2,39
flat,65.0,2.1,1310.0,2,2,2,43.0,New Property,1154.1850220264316,0,0,0,0,0,2,127
flat,4.0,0.42,750.0,2,2,1,3.0,Relatively New,888.6255924170616,0,0,0,0,0,0,26
flat,33.0,1.55,1557.0,3,2,3,8.0,New Property,1844.78672985782,0,0,0,0,0,2,43
flat,102.0,1.3,1440.0,3,3,2,3.0,Under Construction,1268.7224669603524,0,0,0,0,0,2,0
flat,113.0,2.75,2597.0,4,4,3,20.0,Under Construction,3077.0142180094786,1,1,1,0,0,1,57
flat,103.0,1.25,1940.0,3,3,3,2.0,New Property,1.9790441176470588,0,0,1,0,0,2,105
flat,63.0,0.42,567.0,3,2,2,1.0,Under Construction,671.8009478672986,0,0,0,0,0,2,0
flat,48.0,0.4,623.0,2,2,1,4.0,New Property,1.9790441176470588,0,0,0,0,0,2,49
flat,48.0,0.34,629.0,2,2,1,0.0,New Property,745.260663507109,0,0,0,0,0,2,0
flat,89.0,1.25,1423.0,3,3,3,3.0,New Property,1253.7444933920706,1,0,0,0,1,2,0
flat,77.0,1.5,1177.0,3,3,3,4.0,Relatively New,1.9790441176470588,0,0,0,0,0,0,97
flat,102.0,1.3,1400.0,3,3,2,3.0,Under Construction,1233.4801762114537,0,0,0,0,0,2,0
flat,99.0,1.6,2000.0,3,3,3,6.0,Under Construction,1762.1145374449338,0,0,0,0,0,2,0
flat,113.0,1.5,1276.0,2,2,2,13.0,New Property,1511.8483412322275,0,0,0,0,0,2,0
